CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
2,"Eixample""""",2024,"Bicicleta abandonada""""","la Nova Esquerra de l'Eixample""""",30954661,,"Mobilitat""""",4581205,429126,,3,"IMMEDIATA""""",50,"Bicicletes""""",,1,"Carrer""""",2023,12,"MÒBIL""""","de la Diputació""""",9,1,"INCIDENCIA""""",1
2,"Eixample""""",2024,"Vehicles motor abandonats""""","la Dreta de l'Eixample""""",30954667,,"Mobilitat""""",4583446,430073,,5,"IMMEDIATA""""",384,"Vehicles a motor""""",,1,"Carrer""""",2023,12,"WEB""""","de Còrsega""""",7,2,"INCIDENCIA""""",1
2,"Eixample""""",2024,"Bicicleta abandonada""""","Sant Antoni""""",30954662,,"Mobilitat""""",4581446,429797,,5,"EMAIL""""",142,"Bicicletes""""",,1,"Carrer""""",2023,12,"MÒBIL""""","de Sepúlveda""""",10,3,"INCIDENCIA""""",1
2,"Eixample""""",2024,"Bicicleta abandonada""""","el Fort Pienc""""",30954668,,"Mobilitat""""",4583332,431106,,6,"IMMEDIATA""""",446,"Bicicletes""""",,1,"Carrer""""",2023,12,"WEB""""","del Consell de Cent""""",5,4,"INCIDENCIA""""",1
2,"Eixample""""",2024,"Vehicles motor abandonats""""","la Sagrada Família""""",30954670,,"Mobilitat""""",4584241,430883,,6,"IMMEDIATA""""",550,"Vehicles a motor""""",47,1,"Carrer""""",2023,12,"TELÈFON""""","de Còrsega""""",6,5,"INCIDENCIA""""",1
2,"Eixample""""",2024,"Vehicles motor abandonats""""","el Fort Pienc""""",30954669,,"Mobilitat""""",4583332,431106,,6,"IMMEDIATA""""",446,"Vehicles a motor""""",,1,"Carrer""""",2023,12,"WEB""""","del Consell de Cent""""",5,6,"INCIDENCIA""""",1
6,"Gràcia""""",2024,"Zona gossos elements incidències""""","la Vila de Gràcia""""",30954663,,"Manteniment de l'espai urbà""""",4583696,429851,,10,"EMAIL""""",39,"Zona gossos""""",,1,"Carrer""""",2023,12,"MÒBIL""""","de Siracusa""""",31,7,"INCIDENCIA""""",1
7,"Horta-Guinardó""""",2024,"Parcs jardins i zones verdes incidències""""","el Guinardó""""",30954664,,"Manteniment de l'espai urbà""""",4585540,431095,,10,"EMAIL""""",0,"Parcs jardins i zones verdes""""",,1,"Jardins""""",2023,12,"WEB""""","Jard de Frederica Montseny""""",35,8,"INCIDENCIA""""",1
7,"Horta-Guinardó""""",2024,"Jocs infantils incidències""""","Horta""""",30954665,,"Manteniment de l'espai urbà""""",4586825,430143,,11,"NO VOL RESPOSTA""""",14,"Jocs infantils""""",,1,"Plaça""""",2023,12,"MÒBIL""""","Pl de Bacardí""""",43,9,"INCIDENCIA""""",1
5,"Sarrià-Sant Gervasi""""",2024,"Bancs en parcs incidències""""","les Tres Torres""""",30954666,,"Manteniment de l'espai urbà""""",4582842,427386,,13,"EMAIL""""",22,"Mobiliari urbà en parcs""""",,1,"Carrer""""",2023,12,"WEB""""","de Buïgas""""",24,10,"INCIDENCIA""""",1
